sentiment,content
boredom,why did i agree to work a double shift
boredom,waiting in line @ tryst
boredom,i'm so tired
empty,middle school and elem. high schools will remain open for those who need credits to graduate. cali is broken
empty,"i was watching harpers island, lol... there was no vodka involved"
empty,trudy's off burnet...the one up north that no one goes to
empty,hey yu lil fucker i textd yu
empty,just answered you- never learned how to write in french- just basic stuff-
empty,i know i was listenin to bad habit earlier and i started freakin at his part =[
empty,0
empty,i need to be sleeping.. but i'm not even tired..
empty,umm how bout em?..aint get 2 see da game but i see dey survived anotha game of da series due to notin but lebron im guessin
empty,have a headache i'm going to bed. goodnight!
empty,nite. now i'm up n bored as opposed to almost sleep frm b 4
enthusiasm,"bed...sorta. today was good, sara has strep thought angelina does to; i shared a water with her b4 they told me, i will prob get it to"
enthusiasm,wants to hang out with friends soon!
fun,&lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform
fun,that's awesome! we have that this weekend too but i can't go because i'm moving this sat. i should be a lot of fun though
fun,"wondering why i'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
fun,up is out? i didn't get the memo it looks amazing.
fun,omg ur alive!!! lol 2day has gone sooo slow i'm going insane grrr you doing anything tonight?
fun,"did you get them from california vintage? ahahah they have the best dresses, i want them but i dont have ebay"
fun,rip leonardo. you were a great mini fiddler crab
fun,() umm yeah. that's probably a pretty good note to self because eeeeeewwwwwwww.
happiness,Had a great time at the beach today with my best friends!
happiness,that feeling when your favorite song plays randomly.
happiness,"need to pack for cali cali! cannot waittt! thinking a glass of wine is in order to celebrate my weekend vaca. still work 2morrow, tho."
happiness,so grateful for my friends and everything we share.
happiness,finished my project and now it's time to celebrate!
happiness,woke up to sunshine and good vibes only.
happiness,just got the best news ever — can't stop smiling!
happiness,Just got promoted — dreams do come true!
happiness,"i can`t do 30 minutes of treadmill but done 30 minutes for today already, gonna do 20 minutes more"
happiness,everything feels like it's falling into place.
happiness,chillin with the roomies. can't wait for the zombie clwn cr. its gonna be 6-8 weeks
happiness,english class! working on interactive orals
happiness,"so great to see oin &amp; cynthia. so happy. dinner was great, cute little place. too bad oin got sick afterwards."
happiness,i kno i doooo!!!!!!!!!! yall partyin with out me
happiness,"dude, that is my favorite sandwich place ever. ummm did you take pictures?"
happiness,Can't stop dancing — what a vibe!
happiness,I’m feeling so loved and appreciated today.
happiness,had the most incredible lunch with my favorite people.
happiness,i spilled my beer all over my leg. wasted half my beer. home now. i met a cute girl. good conversation.
happiness,english class today was inspiring. loved the oral presentations!
