sentiment,content
empty,i know i was listenin to bad habit earlier and i started freakin at his part =[
sadness,layin n bed with a headache ughhhh...waitin on your call...
sadness,funeral ceremony...gloomy friday...
enthusiasm,wants to hang out with friends soon!
neutral,"we want to trade with someone who has houston tickets, but no one will."
worry,re-pinging : why didn't you go to prom? bc my bf didn't like my friends
sadness,"i should be sleep, but im not! thinking about an old friend who i want. but he's married now. damn, &amp; he wants me 2! scandalous!"
worry,hmmm. is down
sadness,charlene my love. i miss you
sadness,i'm sorry at least it's friday?
neutral,cant fall asleep
worry,choked on her retainers
sadness,ugh! i have to beat this stupid song to get to the next rude!
sadness,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol
surprise,got the news
sadness,the storm is here and the electricity is gone
love,agreed
sadness,so sleepy again and it's not even that late. i fail once again.
worry,lady gaga tweeted about not being impressed by her video leaking just so you know
sadness,how are you convinced that i have always wanted you? what signals did i give off...damn i think i just lost another friend
worry,oh too bad! i hope it gets better. i've been having sleep issues lately too
fun,"wondering why i'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
neutral,no topic maps talks at the balisage markup conference 2009 program online at (via ) #topicmaps
worry,i ate something i don't know what it is... why do i keep telling things about food
sadness,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.
worry,on my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
sadness,"i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
worry,damm servers still down i need to hit 80 before all the koxpers pass me
sadness,fudge.... just bs'd that whole paper.... so tired.... ugh i hate school..... time to sleep!!!!!!!!!!!
worry,i hate cancer. i hate it i hate it i hate it.
hate,it is so annoying when she starts typing on her computer in the middle of the night!
neutral,i cant sleep
neutral,i missed the bl***y bus!!!!!!!!
neutral,feels strong contractions but wants to go out.
neutral,socal! stoked. or maybe not.. tomorrow
neutral,screw you ! i only have 3 weeks...
sadness,yeah :s i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :s you?
worry,i need skott right now
neutral,has work this afternoon
neutral,aw you would not unfollow me would you? then i would cry
happiness,mmm much better day... so far! it's still quite early. last day of #uds
fun,&lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform
worry,just picked up her blackberry from the middle of the street! both she and it are crushed!
worry,why do i have the feeling i should be packing and hitting for sfo around this time of the year? i think i'm missing something...
empty,middle school and elem. high schools will remain open for those who need credits to graduate. cali is broken
worry,"bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
worry,"ahh. ... well, i was hoping that i could learn some stuff on the way. ... why not you and i work on separate things but also"
sadness,i'm having a problem with my photo here in twitter amf!!!...can't see my face!
neutral,", oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke."
neutral,wnna take a bath!!!!
neutral,chocolate milk is so much better through a straw. i lack said straw
worry,why am i so tired?
empty,hey yu lil fucker i textd yu
neutral,"time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,no way! damn that sucks b! are you ok?
worry,sucks not being able to take days off of work or have the money to take the trip so sad
enthusiasm,"bed...sorta. today was good, sara has strep thought angelina does to; i shared a water with her b4 they told me, i will prob get it to"
neutral,the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,but i got dibs on sulu...
sadness,"aww onward and upwards now, yay! still sad to leave i bet."
worry,at once haha. poor aby still gets sore!
sadness,diesel yaris... 70mpg so sad its not available in the us. that'd be awesome.
sadness,i want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot;
sadness,in all honesty...pain blech.
sadness,ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
neutral,at home alone with not much to do
worry,ia so much! i haven't really been happy with any of cooks choices for singles.
sadness,i fell asleep on the beach and didn't put on enough sunscreen lol
worry,so i think my son might have the flu cause i def. just cleaned up a stanky puke mess poor pumkpin
happiness,"so great to see oin &amp; cynthia. so happy. dinner was great, cute little place. too bad oin got sick afterwards."
neutral,i cant give any bday nudges.
worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'him'
neutral,brothers bloom won't be opening this weekend in el paso. i'll just buy brick and enjoy that until i can watch brothers bloom.
neutral,says i miss plurking.
worry,"bitten to blood by my cat, on my way for a rabies bacterin. seems 7 shots for 2 months. never wash my cats at home again, they hate water"
neutral,i miss voobys!
neutral,neither are elp!!
happiness,"dude, that is my favorite sandwich place ever. ummm did you take pictures?"
